Item,Quantity,Name,Material
1,1,cable_holder,PETG
2,1,unversal_cable_mount,PETG
3,6,DIN 912 M3 10 mm,Hardened Alloy Steel
4,23,"M3  Hex nut ",Hardened Alloy Steel
5,1,top_bmg_mgn12,PETG
6,7,DIN 912 M3 35 mm,Hardened Alloy Steel
7,1,BMG_Extruder,"Nylon "
8,1,back_corexy,PETG
9,2,tension_slider_9mm_belt_M5,PETG
10,1,DIN 912 M3 25 mm,Hardened Alloy Steel
11,2,DIN 912 M5 45 mm,Hardened Alloy Steel
12,2,M5  Hex nut Nyloc,Hardened Alloy Steel
13,1,5015 fan,- None -
14,1,bottom_mgn12_short_duct,PETG
15,1,Duct v2.1 Straight,PETG
16,1,universal_face,PETG
17,2,face_belt_grabber,PETG
18,4,DIN 912 M3 8 mm,Hardened Alloy Steel
19,1,PTFE 65mm,PTFE
